n-gram,count
"('southern', 'chinese', 'dialects')",6
"('survey', 'asked', 'respondents')",3
"('asked', 'respondents', 'eating')",3
"('respondents', 'eating', 'habits')",3
"('identify', 'impact', 'diet')",3
"('impact', 'diet', 'health')",3
"('diet', 'health', 'results')",3
"('showed', '75', 'people')",3
"('75', 'people', 'considered')",3
"('people', 'considered', 'meat')",3
"('considered', 'meat', 'eaters')",3
"('meat', 'eaters', '15')",3
"('eaters', '15', 'considered')",3
"('15', 'considered', 'vegetarians')",3
"('considered', 'vegetarians', '5')",3
"('vegetarians', '5', 'considered')",3
"('5', 'considered', 'vegans')",3
"('5', 'dietary', 'preferences')",3
"('dietary', 'preferences', 'data')",3
"('innovative', 'software', 'solutions')",3
"('software', 'solutions', 'time')",3
"('come', 'experience', 'west')",3
"('experience', 'west', 'coast')",3
"('west', 'coast', 'magic')",3
"('team', 'led', 'ms')",3
"('led', 'ms', 'tanaka')",3
"('ms', 'tanaka', 'arrived')",3
"('sunny', 'monday', 'morning')",3
"('monday', 'morning', 'sure')",3
"('morning', 'sure', 'stay')",3
"('possible', 'personalised', 'itineraries')",3
"('rousseau', 'social', 'contract')",3
"('northern', 'southern', 'chinese')",3
"('chinese', 'dialects', 'use')",3
"('dialects', 'use', 'postposition')",3
"('use', 'postposition', 'zanmen')",3
"('postposition', 'zanmen', '之imen')",3
"('historical', 'use', 'zanmen')",3
"('use', 'zanmen', 'northern')",3
"('zanmen', 'northern', 'chinese')",3
"('significance', 'subsequent', 'disappearance')",3
"('subsequent', 'disappearance', 'southern')",3
"('disappearance', 'southern', 'chinese')",3
"('origin', 'significance', 'northern')",3
"('significance', 'northern', 'chinese')",3
"('northern', 'chinese', 'zanmen')",3
"('politics', 'uneven', 'distribution')",2
"('uneven', 'distribution', 'power')",2
"('distribution', 'power', 'society')",2
"('power', 'society', 'struggle')",2
"('society', 'struggle', 'power')",2
"('struggle', 'power', 'conducted')",2
"('power', 'conducted', 'stoker')",2
"('conducted', 'stoker', 'marsh')",2
"('stoker', 'marsh', 'highlight')",2
"('power', 'central', 'study')",2
"('central', 'study', 'politics')",2
"('study', 'politics', 'power')",2
"('politics', 'power', 'political')",2
"('power', 'political', 'analysis')",2
"('political', 'analysis', 'economy')",2
"('analysis', 'economy', 'economics')",2
"('economy', 'economics', 'writes')",2
"('economics', 'writes', 'hay')",2
"('eating', 'habits', 'order')",2
"('habits', 'order', 'identify')",2
"('order', 'identify', 'impact')",2
"('health', 'results', 'showed')",2
"('results', 'showed', '75')",2
"('considered', 'vegans', '5')",2
"('vegans', '5', 'dietary')",2
"('revealed', 'meat', 'eaters')",2
"('poems', 'filled', 'human')",2
"('filled', 'human', 'characters')",2
"('human', 'characters', 'stories')",2
"('characters', 'stories', 'gods')",2
"('understand', 'academic', 'articles')",2
"('getting', 'confused', 'lost')",2
"('example', 'try', 'read')",2
"('try', 'read', 'newspapers')",2
"('months', 'thinking', 'finally')",2
"('thinking', 'finally', 'decided')",2
"('booked', 'skydive', 'small')",2
"('skydive', 'small', 'company')",2
"('small', 'company', 'arrived')",2
"('company', 'arrived', 'drop')",2
"('arrived', 'drop', 'zone')",2
"('house', 'spirits', 'obsessive')",2
"('spirits', 'obsessive', 'violent')",2
"('obsessive', 'violent', 'materialistic')",2
"('life', 'business', 'political')",2
"('business', 'political', 'careers')",2
"('political', 'careers', 'determined')",2
"('widespread', 'influence', 'lives')",2
"('influence', 'lives', 'enslaved')",2
"('lives', 'enslaved', 'africans')",2
"('lives', 'slaves', 'mid-18th')",2
"('slaves', 'mid-18th', 'century')",2
"('solutions', 'time', 'come')",2
"('time', 'come', 'experience')",2
"('coast', 'magic', 'firsthand')",2
"('magic', 'firsthand', 'team')",2
"('firsthand', 'team', 'led')",2
"('personalised', 'itineraries', 'comfortable')",2
"('accommodations', 'working', 'months')",2
"('tanaka', 'arrived', 'bright')",2
