StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateEF9,RateEF9why,RateEF9rewrite,RateBA9,RateBA9why,RateBA9rewrite,RateEF10,RateEF10why,RateEF10rewrite,ChoiceEF9,ChoiceEF9why,ChoiceEF9rewrite,ChoiceBA9,ChoiceBA9why,ChoiceBA9rewrite,ChoiceEF10,ChoiceEF10why,ChoiceEF10rewrite
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Select one option below.,State your age range.,What is your level of English proficiency?,"Have you used a Large Language Model (LLM) before. This includes ChatGPT, Gemini, Claude, or any other AI chatbot released after 2022.",State your occupation - Selected Choice,State your occupation - Other (specify in the text box below) - Text,State Your Gender,Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one)
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1217818597""}","{""ImportId"":""QID1217818592""}","{""ImportId"":""QID6402""}","{""ImportId"":""QID1217818593""}","{""ImportId"":""QID1217818594""}","{""ImportId"":""QID1217818594_17_TEXT""}","{""ImportId"":""QID1217818595""}","{""ImportId"":""QID6151""}","{""ImportId"":""QID6153_TEXT""}","{""ImportId"":""QID6155_TEXT""}","{""ImportId"":""QID6158""}","{""ImportId"":""QID6160_TEXT""}","{""ImportId"":""QID6162_TEXT""}","{""ImportId"":""QID6165""}","{""ImportId"":""QID6167_TEXT""}","{""ImportId"":""QID6169_TEXT""}","{""ImportId"":""QID6170""}","{""ImportId"":""QID6173_TEXT""}","{""ImportId"":""QID6176_TEXT""}","{""ImportId"":""QID6177""}","{""ImportId"":""QID6180_TEXT""}","{""ImportId"":""QID6183_TEXT""}","{""ImportId"":""QID6184""}","{""ImportId"":""QID6187_TEXT""}","{""ImportId"":""QID6190_TEXT""}"
2025-03-24 15:46:04,2025-03-24 16:02:00,IP Address,100,956,True,2025-03-24 16:02:01,R_2onboVy7G4flvu2,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:17:36,2025-03-25 09:34:13,IP Address,100,996,True,2025-03-25 09:34:13,R_2pRScSNTwxZvuYN,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 09:21:47,2025-03-25 09:35:34,IP Address,100,826,True,2025-03-25 09:35:34,R_2CVm3Qulo5BKOJk,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:16:56,2025-03-25 09:36:10,IP Address,100,1154,True,2025-03-25 09:36:11,R_2N3295pEVvdbPAR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Non-binary/non-conforming,,,,,,,,,,,,,,,,,,
2025-03-25 09:37:30,2025-03-25 09:52:54,IP Address,100,924,True,2025-03-25 09:52:55,R_2GjOed4wOMYzPeV,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:37:54,2025-03-25 10:05:18,IP Address,100,1644,True,2025-03-25 10:05:19,R_8mCmUaBJLHLVs0p,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 11:37:48,2025-03-25 12:07:26,IP Address,100,1778,True,2025-03-25 12:07:26,R_2Ppi4KdfHPZYVod,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 11:59:47,2025-03-25 12:53:34,IP Address,100,3227,True,2025-03-25 12:53:35,R_2AtUCaX6yeGESrf,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",25 to 34,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Prefer not to say,2 - Likely AI,"The word ""delved"" is not broadly used. It soundds weird to say that you are a B1 English Learner, you are an English Learner on B1 level, it looks like a text generated by AI when asked to create a text of a B1 level English Learner.","eBay As an English student, I've spent some time into the world of online shopping. Two giants stand out: Amazon and eBay. Both offer a vast selection and convenience, but are they truly equal? Amazon, the undeniable king of convenience, boasts a user-friendly interface and speedy delivery. I can buy almost anything, from books to electronics, with a few clicks. Prime membership provides further benefits like free shipping (sometimes one day delivery) and streaming services, making it a compelling option for frequent shoppers. eBay, on the other hand, thrives on its unique..",3 - Likely human,"It sounds human as in not very direct or too elaborated, sounds as if a person was talking about the subject",It sounds already quite human,4 - Definitely human,"It sounds human and where it says ""they chose to be public"", AI would probably have said ""they have chosen""",,"2) ""NLP is like bridging the gap between humans and computers, enabling machines to understand, interpret, and generate human language. It's a complex field, but its applications are becoming increasingly prevalent in our daily lives. For a beginner like myself, learning about NLP can feel overwhelming. But don't worry! Let's break down some core techniques that are...""","It's too elaborated, sounds like AI generated","NLP is like bridging the gap between humans and computers, enabling machines to understand, interpret, and generate human language. It's a complex field, but its applications are becoming increasingly prevalent in our daily lives. For a beginner like myself, learning about NLP can feel overwhelming. But don't worry! I will break down some of the core techniques that are..","1) ""However, the reality of health is deeply intertwined with social factors, resulting in stark disparities known as health inequalities. These inequalities refer to the unfair and avoidable differences in health outcomes and access to healthcare experienced by diverse social groups. Several factors contribute to these inequities. Poverty acts as a significant barrier, limiting access to nutritious...""",Very difficult to piick which one is AI,I dont know which oone to choose:),"2) ""This deposit is essentially an insurance for the landlord in case you damage the property beyond normal wear and tear. They might also hold back for unpaid rent or cleaning costs. While it's understandable that landlords need this protection, it's important to know your rights and how to get your money back. Here are some steps...""",Sounds more like a tutorial,It is very tricky to rewrite and even to know which one is AI generated
