StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateBA4,RateBA4why,RateBA4rewrite,RateEF5,RateEF5why,RateEF5rewrite,RateBA5,RateBA5why,RateBA5rewrite,ChoiceBA4,ChoiceBA4why,ChoiceBA4rewrite,ChoiceEF5,ChoiceEF5why,ChoiceEF5rewrite,ChoiceBA5,ChoiceBA5why,ChoiceBA5rewrite
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Select one option below.,State your age range.,What is your level of English proficiency?,"Have you used a Large Language Model (LLM) before. This includes ChatGPT, Gemini, Claude, or any other AI chatbot released after 2022.",State your occupation - Selected Choice,State your occupation - Other (specify in the text box below) - Text,State Your Gender,Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one)
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1217818597""}","{""ImportId"":""QID1217818592""}","{""ImportId"":""QID6402""}","{""ImportId"":""QID1217818593""}","{""ImportId"":""QID1217818594""}","{""ImportId"":""QID1217818594_17_TEXT""}","{""ImportId"":""QID1217818595""}","{""ImportId"":""QID6025""}","{""ImportId"":""QID6027_TEXT""}","{""ImportId"":""QID6029_TEXT""}","{""ImportId"":""QID6032""}","{""ImportId"":""QID6034_TEXT""}","{""ImportId"":""QID6036_TEXT""}","{""ImportId"":""QID6039""}","{""ImportId"":""QID6041_TEXT""}","{""ImportId"":""QID6043_TEXT""}","{""ImportId"":""QID6044""}","{""ImportId"":""QID6047_TEXT""}","{""ImportId"":""QID6050_TEXT""}","{""ImportId"":""QID6051""}","{""ImportId"":""QID6054_TEXT""}","{""ImportId"":""QID6057_TEXT""}","{""ImportId"":""QID6058""}","{""ImportId"":""QID6061_TEXT""}","{""ImportId"":""QID6064_TEXT""}"
2025-03-24 15:46:04,2025-03-24 16:02:00,IP Address,100,956,True,2025-03-24 16:02:01,R_2onboVy7G4flvu2,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:17:36,2025-03-25 09:34:13,IP Address,100,996,True,2025-03-25 09:34:13,R_2pRScSNTwxZvuYN,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 09:21:47,2025-03-25 09:35:34,IP Address,100,826,True,2025-03-25 09:35:34,R_2CVm3Qulo5BKOJk,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:16:56,2025-03-25 09:36:10,IP Address,100,1154,True,2025-03-25 09:36:11,R_2N3295pEVvdbPAR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Non-binary/non-conforming,,,,,,,,,,,,,,,,,,
2025-03-25 09:37:30,2025-03-25 09:52:54,IP Address,100,924,True,2025-03-25 09:52:55,R_2GjOed4wOMYzPeV,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:37:54,2025-03-25 10:05:18,IP Address,100,1644,True,2025-03-25 10:05:19,R_8mCmUaBJLHLVs0p,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 11:37:48,2025-03-25 12:07:26,IP Address,100,1778,True,2025-03-25 12:07:26,R_2Ppi4KdfHPZYVod,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 11:59:47,2025-03-25 12:53:34,IP Address,100,3227,True,2025-03-25 12:53:35,R_2AtUCaX6yeGESrf,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",25 to 34,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Prefer not to say,,,,,,,,,,,,,,,,,,
2025-03-25 11:27:27,2025-03-25 14:03:04,IP Address,100,9337,True,2025-03-25 14:03:06,R_2D6oWJmximX6d8O,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 15:23:20,2025-03-25 15:49:05,IP Address,100,1544,True,2025-03-25 15:49:06,R_82KVXcfDy0zJ2Fm,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 15:47:25,2025-03-25 16:04:30,IP Address,100,1024,True,2025-03-25 16:04:31,R_8E9PGqDfnVqCYbL,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:17:21,2025-03-25 16:32:12,IP Address,100,891,True,2025-03-25 16:32:13,R_2cGn1SD9AMXprjz,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
