StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateBA1,RateBA1why,RateBA1rewrite,RateEF2,RateEF2why,RateEF2rewrite,RateBA2,RateBA2why,RateBA2rewrite,ChoiceBA1,ChoiceBA1why,ChoiceBA1rewrite,ChoiceEF2,ChoiceEF2why,ChoiceEF2rewrite,ChoiceBA2,ChoiceBA2why,ChoiceBA2rewrite
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Select one option below.,State your age range.,What is your level of English proficiency?,"Have you used a Large Language Model (LLM) before. This includes ChatGPT, Gemini, Claude, or any other AI chatbot released after 2022.",State your occupation - Selected Choice,State your occupation - Other (specify in the text box below) - Text,State Your Gender,Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one)
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1217818597""}","{""ImportId"":""QID1217818592""}","{""ImportId"":""QID6402""}","{""ImportId"":""QID1217818593""}","{""ImportId"":""QID1217818594""}","{""ImportId"":""QID1217818594_17_TEXT""}","{""ImportId"":""QID1217818595""}","{""ImportId"":""QID5941""}","{""ImportId"":""QID5943_TEXT""}","{""ImportId"":""QID5945_TEXT""}","{""ImportId"":""QID5948""}","{""ImportId"":""QID5950_TEXT""}","{""ImportId"":""QID5952_TEXT""}","{""ImportId"":""QID5955""}","{""ImportId"":""QID5957_TEXT""}","{""ImportId"":""QID5959_TEXT""}","{""ImportId"":""QID5960""}","{""ImportId"":""QID5963_TEXT""}","{""ImportId"":""QID5966_TEXT""}","{""ImportId"":""QID5967""}","{""ImportId"":""QID5970_TEXT""}","{""ImportId"":""QID5973_TEXT""}","{""ImportId"":""QID5974""}","{""ImportId"":""QID5977_TEXT""}","{""ImportId"":""QID5980_TEXT""}"
2025-03-24 15:46:04,2025-03-24 16:02:00,IP Address,100,956,True,2025-03-24 16:02:01,R_2onboVy7G4flvu2,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:17:36,2025-03-25 09:34:13,IP Address,100,996,True,2025-03-25 09:34:13,R_2pRScSNTwxZvuYN,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 09:21:47,2025-03-25 09:35:34,IP Address,100,826,True,2025-03-25 09:35:34,R_2CVm3Qulo5BKOJk,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:16:56,2025-03-25 09:36:10,IP Address,100,1154,True,2025-03-25 09:36:11,R_2N3295pEVvdbPAR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Non-binary/non-conforming,,,,,,,,,,,,,,,,,,
2025-03-25 09:37:30,2025-03-25 09:52:54,IP Address,100,924,True,2025-03-25 09:52:55,R_2GjOed4wOMYzPeV,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 09:37:54,2025-03-25 10:05:18,IP Address,100,1644,True,2025-03-25 10:05:19,R_8mCmUaBJLHLVs0p,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 11:37:48,2025-03-25 12:07:26,IP Address,100,1778,True,2025-03-25 12:07:26,R_2Ppi4KdfHPZYVod,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 11:59:47,2025-03-25 12:53:34,IP Address,100,3227,True,2025-03-25 12:53:35,R_2AtUCaX6yeGESrf,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",25 to 34,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Prefer not to say,,,,,,,,,,,,,,,,,,
2025-03-25 11:27:27,2025-03-25 14:03:04,IP Address,100,9337,True,2025-03-25 14:03:06,R_2D6oWJmximX6d8O,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 15:23:20,2025-03-25 15:49:05,IP Address,100,1544,True,2025-03-25 15:49:06,R_82KVXcfDy0zJ2Fm,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
2025-03-25 15:47:25,2025-03-25 16:04:30,IP Address,100,1024,True,2025-03-25 16:04:31,R_8E9PGqDfnVqCYbL,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:17:21,2025-03-25 16:32:12,IP Address,100,891,True,2025-03-25 16:32:13,R_2cGn1SD9AMXprjz,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:27:19,2025-03-25 16:38:44,IP Address,100,684,True,2025-03-25 16:38:44,R_8AjFWN7QF0lk3Yd,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,
2025-03-25 16:03:35,2025-03-25 17:17:42,IP Address,100,4447,True,2025-03-25 17:17:43,R_2fW8LyjBflDx8e5,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,
