StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent Radio,Age,English Level,LLM Familiarity,Occupation,Occupation_17_TEXT,Q4,RateBA10,RateBA10why,RateBA10rewrite,RateEF11,RateEF11why,RateEF11rewrite,RateBA11,RateBA11why,RateBA11rewrite,ChoiceBA10,ChoiceBA10why,ChoiceBA10rewrite,ChoiceEF11,ChoiceEF11why,ChoiceEF11rewrite,ChoiceBA11,ChoiceBA11why,ChoiceBA11rewrite,SC0
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Select one option below.,State your age range.,What is your level of English proficiency?,"Have you used a Large Language Model (LLM) before. This includes ChatGPT, Gemini, Claude, or any other AI chatbot released after 2022.",State your occupation - Selected Choice,State your occupation - Other (specify in the text box below) - Text,State Your Gender,Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Rate the text between 1 (definitely AI generated) and 4 (definitely human generated).,Why does the text sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,"Please rewrite the text so that it sounds more human-like, if you rated it anything below ""4 - Definitely human"". If you rated it ""4 - Definitely human"", just type ""NA"" (Not Applicable). You may copy and paste the text and then make your edits.",Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Pick which text sounds more AI-generated.,Why does the text option you chose sound more or less human-like? Please write at least one sentence. Any and all reasoning is useful.,Please rewrite the text you chose as AI-generated so that it sounds more human-like. You may copy and paste your answer from the text above (make sure you pick the correct one),Score
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1217818597""}","{""ImportId"":""QID1217818592""}","{""ImportId"":""QID6402""}","{""ImportId"":""QID1217818593""}","{""ImportId"":""QID1217818594""}","{""ImportId"":""QID1217818594_17_TEXT""}","{""ImportId"":""QID1217818595""}","{""ImportId"":""QID6193""}","{""ImportId"":""QID6195_TEXT""}","{""ImportId"":""QID6197_TEXT""}","{""ImportId"":""QID6200""}","{""ImportId"":""QID6202_TEXT""}","{""ImportId"":""QID6204_TEXT""}","{""ImportId"":""QID6207""}","{""ImportId"":""QID6209_TEXT""}","{""ImportId"":""QID6211_TEXT""}","{""ImportId"":""QID6212""}","{""ImportId"":""QID6215_TEXT""}","{""ImportId"":""QID6218_TEXT""}","{""ImportId"":""QID6219""}","{""ImportId"":""QID6222_TEXT""}","{""ImportId"":""QID6225_TEXT""}","{""ImportId"":""QID6226""}","{""ImportId"":""QID6229_TEXT""}","{""ImportId"":""QID6232_TEXT""}","{""ImportId"":""SC_29JizAYe3w8vwI6""}"
2025-03-24 15:46:04,2025-03-24 16:02:00,IP Address,100,956,True,2025-03-24 16:02:01,R_2onboVy7G4flvu2,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,5
2025-03-25 09:17:36,2025-03-25 09:34:13,IP Address,100,996,True,2025-03-25 09:34:13,R_2pRScSNTwxZvuYN,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 09:21:47,2025-03-25 09:35:34,IP Address,100,826,True,2025-03-25 09:35:34,R_2CVm3Qulo5BKOJk,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,5
2025-03-25 09:16:56,2025-03-25 09:36:10,IP Address,100,1154,True,2025-03-25 09:36:11,R_2N3295pEVvdbPAR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Non-binary/non-conforming,,,,,,,,,,,,,,,,,,,1
2025-03-25 09:37:30,2025-03-25 09:52:54,IP Address,100,924,True,2025-03-25 09:52:55,R_2GjOed4wOMYzPeV,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,1
2025-03-25 09:37:54,2025-03-25 10:05:18,IP Address,100,1644,True,2025-03-25 10:05:19,R_8mCmUaBJLHLVs0p,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 11:37:48,2025-03-25 12:07:26,IP Address,100,1778,True,2025-03-25 12:07:26,R_2Ppi4KdfHPZYVod,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,,5
2025-03-25 11:59:47,2025-03-25 12:53:34,IP Address,100,3227,True,2025-03-25 12:53:35,R_2AtUCaX6yeGESrf,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",25 to 34,Fluent (C1/C2),Yes,"Science, Research, and Engineering",,Prefer not to say,,,,,,,,,,,,,,,,,,,4
2025-03-25 11:27:27,2025-03-25 14:03:04,IP Address,100,9337,True,2025-03-25 14:03:06,R_2D6oWJmximX6d8O,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Man,,,,,,,,,,,,,,,,,,,2
2025-03-25 15:23:20,2025-03-25 15:49:05,IP Address,100,1544,True,2025-03-25 15:49:06,R_82KVXcfDy0zJ2Fm,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 15:47:25,2025-03-25 16:04:30,IP Address,100,1024,True,2025-03-25 16:04:31,R_8E9PGqDfnVqCYbL,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,4
2025-03-25 16:17:21,2025-03-25 16:32:12,IP Address,100,891,True,2025-03-25 16:32:13,R_2cGn1SD9AMXprjz,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-25 16:27:19,2025-03-25 16:38:44,IP Address,100,684,True,2025-03-25 16:38:44,R_8AjFWN7QF0lk3Yd,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-25 16:03:35,2025-03-25 17:17:42,IP Address,100,4447,True,2025-03-25 17:17:43,R_2fW8LyjBflDx8e5,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 17:29:44,2025-03-25 17:47:55,IP Address,100,1090,True,2025-03-25 17:47:56,R_8qjHWGKCsUwADw4,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 18:31:10,2025-03-25 19:03:18,IP Address,100,1928,True,2025-03-25 19:03:18,R_2sLQa0FwOW0n2kF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,No,Student,,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-25 12:00:20,2025-03-25 19:31:50,IP Address,100,27089,True,2025-03-25 19:31:50,R_2X5Kw4Fck7mrvuF,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 19:18:13,2025-03-25 20:00:48,IP Address,100,2555,True,2025-03-25 20:00:49,R_8WJds7hsSYMO3SI,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-25 19:55:54,2025-03-25 20:13:50,IP Address,100,1075,True,2025-03-25 20:13:50,R_8FtFNSF5BlCm3oE,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-25 22:35:49,2025-03-25 22:50:40,IP Address,100,890,True,2025-03-25 22:50:40,R_8OriQB4hUAhjPsj,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,3
2025-03-26 08:17:06,2025-03-26 08:31:35,IP Address,100,868,True,2025-03-26 08:31:35,R_8LBstTyJLwQs5IR,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Fluent (C1/C2),Yes,Information Technology (IT) and Software Development,,Man,,,,,,,,,,,,,,,,,,,4
2025-03-26 13:37:40,2025-03-26 14:31:34,IP Address,100,3233,True,2025-03-26 14:31:34,R_3gnImmcOVIfpDVn,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",55 to 64,Fluent (C1/C2),Yes,Other (specify in the text box below),Human Resources,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-26 14:43:19,2025-03-26 14:55:15,IP Address,100,715,True,2025-03-26 14:55:16,R_2gSCuJoZXCjs8I3,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Woman,,,,,,,,,,,,,,,,,,,3
2025-03-26 00:30:22,2025-03-26 22:00:27,IP Address,100,77405,True,2025-03-26 22:00:28,R_8kzEicqoVh0UfJp,anonymous,EN,"Yes, I confirm that I have read and understood the above statements",18 to 24,Native speaker,Yes,Student,,Man,,,,,,,,,,,,,,,,,,,4
