n-gram,count
"('communication', 'conveyed', 'pragmatic', 'analysis')",2
"('machine', 'generated', 'tends', 'output')",2
"('gut', 'feeling', 'gut', 'feeling')",2
"('feeling', 'gut', 'feeling', 'gut')",2
"('sounds', 'like', 'written', 'human')",2
"('sound', 'ai', 'generated', 'written')",2
"('delve', 'sound', 'ai', 'generated')",2
"('ai', 'generated', 'uses', 'word')",2
"('generated', 'uses', 'word', 'delve')",2
"('sounds', 'ai', 'generated', 'written')",1
"('ai', 'generated', 'written', 'plain')",1
"('generated', 'written', 'plain', 'language')",1
"('written', 'plain', 'language', 'good')",1
"('plain', 'language', 'good', 'flow')",1
"('language', 'good', 'flow', 'suspect')",1
"('good', 'flow', 'suspect', 'mondern')",1
"('flow', 'suspect', 'mondern', 'llm')",1
"('suspect', 'mondern', 'llm', 'write')",1
"('mondern', 'llm', 'write', 'fluently')",1
"('llm', 'write', 'fluently', 'think')",1
"('write', 'fluently', 'think', 'likely')",1
"('fluently', 'think', 'likely', 'written')",1
"('think', 'likely', 'written', 'human')",1
"('likely', 'written', 'human', 'wirh')",1
"('written', 'human', 'wirh', 'avergae')",1
"('human', 'wirh', 'avergae', 'writing')",1
"('wirh', 'avergae', 'writing', 'skills')",1
"('avergae', 'writing', 'skills', 'believe')",1
"('writing', 'skills', 'believe', 'second')",1
"('skills', 'believe', 'second', 'ai')",1
"('believe', 'second', 'ai', 'like')",1
"('second', 'ai', 'like', 'overall')",1
"('ai', 'like', 'overall', 'higher')",1
"('like', 'overall', 'higher', 'level')",1
"('overall', 'higher', 'level', 'start')",1
"('higher', 'level', 'start', 'sounds')",1
"('level', 'start', 'sounds', 'bit')",1
"('start', 'sounds', 'bit', 'like')",1
"('sounds', 'bit', 'like', 'wikipedia')",1
"('bit', 'like', 'wikipedia', 'article')",1
"('like', 'wikipedia', 'article', 'makes')",1
"('wikipedia', 'article', 'makes', 'suspicious')",1
"('article', 'makes', 'suspicious', 'ai')",1
"('makes', 'suspicious', 'ai', 'tho')",1
"('suspicious', 'ai', 'tho', 'structure')",1
"('ai', 'tho', 'structure', 'flow')",1
"('tho', 'structure', 'flow', 'human')",1
"('structure', 'flow', 'human', 'like')",1
"('flow', 'human', 'like', 'error')",1
"('human', 'like', 'error', 'tense')",1
"('like', 'error', 'tense', 'sunny')",1
"('error', 'tense', 'sunny', 'day')",1
"('tense', 'sunny', 'day', 'sound')",1
"('sunny', 'day', 'sound', 'human')",1
"('day', 'sound', 'human', 'like')",1
"('sound', 'human', 'like', 'huma')",1
"('human', 'like', 'huma', 'like')",1
"('like', 'huma', 'like', 'extremely')",1
"('huma', 'like', 'extremely', 'chaotic')",1
"('like', 'extremely', 'chaotic', 'unnatural')",1
